date,Open,High,Low,Close,Volume
2024-12-18 09:30:00-05:00,125.30999755859376,125.80999755859376,125.13999938964844,125.4800033569336,1711293
2024-12-18 09:31:00-05:00,125.4489974975586,125.59970092773438,124.94000244140624,125.31999969482422,219190
2024-12-18 09:32:00-05:00,125.30999755859376,125.5999984741211,125.07009887695312,125.22000122070312,193588
2024-12-18 09:33:00-05:00,125.22000122070312,125.66500091552734,125.1500015258789,125.52999877929688,175900
2024-12-18 09:34:00-05:00,125.52999877929688,126.06169891357422,125.51010131835938,125.87999725341795,266575
2024-12-18 09:35:00-05:00,125.97000122070312,126.11000061035156,125.72000122070312,125.88980102539062,163633
2024-12-18 09:36:00-05:00,125.81999969482422,125.81999969482422,125.31999969482422,125.68000030517578,163254
2024-12-18 09:37:00-05:00,125.72000122070312,125.9499969482422,125.3000030517578,125.9000015258789,161591
2024-12-18 09:38:00-05:00,125.9000015258789,125.95999908447266,125.68000030517578,125.87999725341795,140612
2024-12-18 09:39:00-05:00,125.9000015258789,126.4800033569336,125.89009857177734,126.45999908447266,220494
2024-12-18 09:40:00-05:00,126.4800033569336,126.63999938964844,126.24500274658205,126.3000030517578,220996
2024-12-18 09:41:00-05:00,126.25,126.3498992919922,125.90879821777344,125.91999816894533,137242
2024-12-18 09:42:00-05:00,125.9499969482422,126.22989654541016,125.94010162353516,126.05500030517578,122210
2024-12-18 09:43:00-05:00,126.0500030517578,126.0500030517578,125.74199676513672,125.7699966430664,120107
2024-12-18 09:44:00-05:00,125.8000030517578,125.9000015258789,125.58000183105467,125.7677001953125,162255
2024-12-18 09:45:00-05:00,125.76000213623048,125.86000061035156,125.62999725341795,125.73999786376952,78103
2024-12-18 09:46:00-05:00,125.72000122070312,125.93489837646484,125.51000213623048,125.8147964477539,212291
2024-12-18 09:47:00-05:00,125.81999969482422,125.87999725341795,125.6999969482422,125.83999633789062,108991
2024-12-18 09:48:00-05:00,125.8501968383789,125.8760986328125,125.37010192871094,125.52149963378906,137043
2024-12-18 09:49:00-05:00,125.52149963378906,125.52149963378906,125.2301025390625,125.31999969482422,106550
2024-12-18 09:50:00-05:00,125.33999633789062,125.45999908447266,125.21499633789062,125.26139831542967,101861
2024-12-18 09:51:00-05:00,125.29000091552734,125.32990264892578,125.01000213623048,125.30999755859376,173659
2024-12-18 09:52:00-05:00,125.31999969482422,125.37989807128906,125.0,125.05989837646484,138598
2024-12-18 09:53:00-05:00,125.05419921875,125.3000030517578,124.93000030517578,125.26499938964844,229643
2024-12-18 09:54:00-05:00,125.3000030517578,125.4739990234375,125.26000213623048,125.47000122070312,110791
